1RN15IS008|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|2.0|
1RN15IS002|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1.0|
$RN15IS007|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|2.0|
1RN15IS001|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1.0|
$RN15IS005|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|2.0|
$RN15IS009|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9|2.0|
$RN15IS003|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1.0|
$RN15IS006|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|2.0|
$RN15IS004|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|1.0|
1RN15IS010|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|3.0|
1RN15IS006|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|2.0|
1RN15IS007|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|2.0|
1RN15IS009|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9|9|2.0|
$RN15IS003|3|3|3|3|3|3|3|3|3|3|3|33|3|3|3|3|1.37|
1RN15IS003|10|20|20|20|20|20|20|20|40|50|60|50|40|50|60|50|7.87|
